Measurement,Size (bytes),Average (ns),Median (ns),StdDev (ns)
measure_monitor_cold,-,5747212.5,5775015.0,148463.04511320556
measure_monitor_hot,-,29663.75,29500.0,3184.219740712449
measure_wamr_runtime_cold,-,38423.75,38525.0,2246.9403800342748
measure_wamr_runtime_hot,-,21066.25,20140.0,1832.8817084424345
measure_wasm_module_cold,-,37050,36095.0,2902.2454361112486
measure_wasm_module_hot,-,22928.75,21900.0,2743.4255828382566
measure_function,64,322442.5,297380.0,72472.62000231535
measure_function,1024,180436.25,179655.0,4094.979286534043
measure_function,4096,259086.25,258905.0,2707.127826946591
